Ancient Rush 2,Heideland GameWorks Inh.,Heideland GameWorks,01/Fev/2019
Angels of Death,Makoto Sanada,Active Gaming Media,27/Jun/2018
Anggelos,LookAtMyGame,Pqube,25/Abr/2019
Anima: Gate of Memories - The Nameless Chronicles,Anima Project,Badland Games,19/Jun/2018
Animal Fight Club,Marco Amadei,Corvostudio di Amadei Marco,26/Jul/2019
Animal Rivals: Nintendo Switch Edition,Blue Sunset Games,Blue Sunset Games,18/Jul/2018
Animal Super Squad,DoubleMoose,DoubleMoose,01/Mai/2018
Animated Jigsaws: Beautiful Japanese Scenery,Dico / BottleCube,Rainy Frog,05/Abr/2018
Animated Jigsaws: Japanese Women,Dico,Rainy Frog,04/Out/2018
Animated Jigsaws: Wild Animals,Dico,Rainy Frog,03/Jan/2019
Animus,"Troooze, INC.",Troooze,03/Jan/2019
Ankh Guardian - Treasure of the Demon's Temple,Tom Create,Tom Create,04/Jul/2019
Anode,Kittehface Software,Kittehface Software,17/Ago/2019
Anodyne,Analgesic Productions,Nnooo,28/Fev/2019
Another Lost Phone: Laura's Story,Accidental Queens / Seaven Studio,Plug In Digital,26/Abr/2018
Another Sight,Lunar Great Wall Studios,Toplitz Productions,28/Jun/2019
Another World,DotEmu,DotEmu,09/Jul/2018
Antiquia Lost,Exe Create Inc.,Kemco,16/Nov/2017
Ape Out,Gabe Cuzzillo,Devolver Digital,28/Fev/2019
Aperion Cyberstorm,aPriori Digital,aPriori Digital,08/Fev/2018
Apocalipsis Wormwood Edition,Punch Punk Games,Klabater,10/Jan/2019
Apocryph: An Old-School Shooter,Bigzur Games,Bigzur Games,14/Mar/2019
Aqua Kitty UDX,Tikipod Ltd,Tikipod,15/Fev/2018
Aqua Moto Racing Utopia,Zordix,Bigben Interactive,27/Abr/2018
Aqua TV,Extra Mile Studios,EM Studios,25/Out/2018
Aragami: Shadow Edition,Lince Works,Merge Games,21/Fev/2019
Arcade Classics Anniversary Collection,Konami Digital Entertainment,Konami,18/Abr/2019
Archlion Saga,Hit-Point,Kemco,18/Jul/2019
Arena of Valor,Tencent,Tencent Games,25/Set/2018
ARK: Survival Evolved,Studio Wildcard,Snail Games USA,30/Nov/2018
Armello,League of Geeks,League of Geeks,27/Set/2018
ARMS,Nintendo,Nintendo,16/Jun/2017
Art of Balance,Shin'en Multimedia,Shin'en Multimedia,04/Out/2018
Artifact Adventure Gaiden DX,room6,room6,06/Jun/2019
Ascendance,Onevision Games,Onevision Games,09/Mai/2019
Asdivine Dios,Exe Create Inc.,Kemco,04/Jul/2019
Asdivine Hearts,Exe Create Inc.,Kemco,12/Abr/2018
Asdivine Hearts II,Exe Create Inc.,Kemco,24/Jan/2019
Assassin's Creed III Remastered,Ubisoft,Ubisoft,21/Mai/2019
Assault Android Cactus+,Witch Beam Games,Witch Beam Games,08/Mar/2018
Assault On Metaltron,Blue Sunset Games,Blue Sunset Games,20/Mar/2019
Astebreed,Edelweiss,Active Gaming Media,08/Nov/2018
Asterix & Obelix XXL 2,Osome Studio,Microïds,29/Nov/2018
Astro Bears,Sonka,Sonka,19/Jul/2019
Astro Bears Party,QubicGames,Sonka,28/Set/2018
Astro Duel Deluxe,Panic Button,Panic Button,30/Mai/2017
At Sundown: Shots in the Dark,Mild Beast Games,Versus Evil,22/Jan/2019
Atari Flashback Classics,Atari,Atari,13/Dez/2018
Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,Gust,Koei Tecmo America,27/Mar/2018
Atelier Meruru: The Apprentice of Arland DX,Gust,Koei Tecmo America,04/Dez/2018
Atelier Lulua: The Scion of Arland,"Koei Tecmo Games CO., LTD.",Koei Tecmo America,21/Mai/2019
Atelier Rorona: The Alchemist of Arland DX,Gust,Koei Tecmo America,04/Dez/2018
Atelier Totori: The Adventurer of Arland DX,Gust,Koei Tecmo America,04/Dez/2018
Atomik: RunGunJumpGun,thirtythreegames,Gambitious,08/Fev/2018
Atomine,Broken Arms Games Pty Ltd,MixedBag Srl,25/Mai/2018
Attack of the Toy Tanks,Petite Games,Ratalaika Games,28/Jun/2019
Attack on Titan 2,"Koei Tecmo Games CO., LTD.","Koei Tecmo Games CO., LTD.",20/Mar/2018
Automachef,Team17 Digital Ltd,Team17 Digital Ltd,23/Jul/2019
AWAY: Journey to the Unexpected,AurelxJim,Plug In Digital,07/Fev/2019
Awesome Pea,Sometimes You,Sometimes You,01/Mar/2019
Awkward,Snap Finger Click,Snap Finger Click,05/Jul/2018
Axiom Verge,Thomas Happ Games,Thomas Happ Games LLC,05/Out/2017
Ayakashi Koi Gikyoku: Forbidden Romance with Mysterious Spirit,Digimerce,OperaHouse Corporation,02/Ago/2018
Azkend 2: The World Beneath,10tons Ltd,10tons,12/Jan/2018
Azuran Tales: TRIALS,Tiny Trinket Games,Tiny Trinket Games,24/Jun/2019
Azure Reflections,Unties,Unties,30/Ago/2018
Azure Saga: Pathfinder DELUXE Edition,MassHive Media,Toge Productions,21/Mar/2019
Azure Striker Gunvolt: Striker Pack,"Inti Creates CO., LTD.","Inti Creates CO., LTD.",31/Ago/2017
Baba Is You,Hempuli,Hempuli,13/Mar/2019
Back in 1995,Throw the warped code out,Ratalaika Games,24/Mai/2019
Back to Bed,2Awesome Studio,Bedtime Digital Games,11/Abr/2019
Bad Dream: Coma,Forever Entertainment,Forever Entertainment,24/Jan/2019
Bad Dream: Fever,Forever Entertainment,Forever Entertainment,14/Mar/2019
Bad North,Plausible Concept,Raw Fury,20/Ago/2018
BAFL - Brakes Are For Losers,Oudidon,Plug In Digital,19/Abr/2018
Balance Blox,EntwicklerX,EntwicklerX,24/Jan/2019
Banner Saga 1,Stoic,Versus Evil,17/Mai/2018
Banner Saga 2,Stoic,Versus Evil,07/Jun/2018
Banner Saga 3,Stoic,Versus Evil,26/Jul/2018
Baobabs Mausoleum Ep.1: Ovnifagos Don't Eat Flamingos,Celery Emblem,Zerouno Games,24/Mai/2018
Baobabs Mausoleum Ep.2: 1313 Barnabas Dead End Drive,Celery Emblem,Zerouno Games,27/Jun/2019
Bard's Gold - Nintendo Switch Edition,Pixel Lantern,Pixel Lantern,05/Mar/2019
Bargain Hunter,Silver Cow Studio,Silver Cow Studio,15/Mar/2019
Baseball Riot,10tons Ltd,10tons,19/Jan/2018
Bash The Bear,FuryLion LLC,FuryLion Group,16/Jan/2019
Bass Pro Shops: The Strike - Championship Edition,Saber Interactive,Planet ENTMT,23/Out/2018
Bastion,Supergiant Games,Supergiant Games,13/Set/2018
Batman - The Telltale Series,Telltale Games,Telltale Games,14/Nov/2017
Batman: The Enemy Within,Telltale Games,Telltale Games,02/Out/2018
Battery Jam,Halseo,Halseo,22/Nov/2018
Battle Chasers: Nightwar,Airship Syndicate,THQ Nordic,15/Mai/2018
Battle Chef Brigade,Trinket Studios,Adult Swim Games,20/Nov/2017
Battle Group 2,Bane Games,Merge Games,11/Out/2018
Battle Princess Madelyn,Causal Bit Games Inc.,Causal Bit Games,20/Dez/2018
Battle Supremacy,Atypical Games,Atypical Games,19/Jul/2018
Battle Worlds: Kronos,King Art,THQ Nordic,28/Mai/2019
Battleship,Marmalade Game Studio,Marmalade Game Studio,24/Jul/2019
Battlezone Gold Edition,Rebellion,RebellionInteract,08/Nov/2018
Battlloon,noname studio,Unties,28/Fev/2019
Bayonetta,Platinum Games,Nintendo,16/Fev/2018
Bayonetta 2,Platinum Games,Nintendo,16/Fev/2018
Beach Buggy Racing,Vector Unit,Vector Unit,14/Set/2017
Bear With Me: The Lost Robots,Exordium Games,Modus Games,31/Jul/2019
Beat Cop,Michael Hicks,11 bit studios,05/Mar/2019
Beat Rush,FuryLion LLC,FuryLion Group,16/Jul/2018
Beekyr Reloaded,Akaoni Studio,Akaoni Studio,14/Jun/2018
Behind The Screen,18Light,Cosen,23/Ago/2018
Beholder: Complete Edition,Warm Lamp Games,Curve Digital,06/Dez/2018
Beholder 2,Warm Lamp Games,Alawar Premium,15/Ago/2019
Bendy and the Ink Machine,TheMeatly Games LLC,Rooster Teeth Games,20/Nov/2018
Beyond Enemy Lines: Covert Operations,Polygon Art,Polygon Art,23/Abr/2019
Big Bash Boom,Big Ant Studios,Big Ant Studios,13/Dez/2018
Big Buck Hunter Arcade,Game Mechanic Studios,GameMill Entertainment,16/Out/2018
Big Crown: Showdown,Hyper Luminal Games Ltd,Sold Out,10/Jan/2019
Binaries,Ant Workshop,Ant Workshop,28/Set/2017
Bingo for Nintendo Switch,Sims,Starsign,15/Mar/2018
Bird Game +,Bryan Tabor,Ratalaika Games,03/Mai/2019
Bit Dungeon Plus,KintoGames,Dolores Entertainment S.L.,08/Mar/2018
Bitlogic - A Cyberpunk Arcade Adventure,OXiAB Game Studio,OXiAB Game Studio,27/Jun/2019
Black & White Bushido,Good Catch,Good Catch,25/Out/2018
Black Bird,Onion Games,Onion Games,18/Out/2018
Black Hole,Dufgames,Dufgames,06/Fev/2018
