Cris Tales,Ação role-playing,Dreams UncorporatedSYCK,Modus Games,20 de julho de 2021,20 de julho de 2021,20 de julho de 2021
CRSED: F.O.A.D.,Tiro na 1ª pessoa,Darkflow Studio,Gaijin Entertainment,15 de dezembro de 2021,15 de dezembro de 2021,15 de dezembro de 2021
Cthulhu Saves Christmas,Role-playing,Zeboyd Games,Zeboyd Games,TBA,TBA,TBA
Curse of the Sea Rats,Metroidvania,Petoon Studios,PQube,2021,2021,2021
Cyberpunk 2077,Ação role-playing,CD Projekt Red,CD Projekt,2021,2021,2021
Cyber Shadow,Actionplatform,Mechanical Head Studios,Yacht Club Games,Não lançado,26 de janeiro de 2021,26 de janeiro de 2021
CYGNI: All Guns Blazing,Tiro,KeelWorks,KeelWorks,2021,2021,2021
The Dark Pictures Anthology: House of Ashes,Interactive dramaHorror de sobrevivência,Supermassive Games,Bandai Namco Entertainment,2021,2021,2021
DARQ: Complete Edition,Psychological horror,Unfold Games,Feardemic,2021,2021,2021
Dawn of the Monsters,Beat 'em up,13AM Games,WayForward,2021,2021,2021
DC Universe Online,Massively multiplayer onlineaction,Dimensional Ink Games,Daybreak Game Company,TBA,TBA,TBA
Dead by Daylight,Horror de sobrevivência,Behaviour Interactive,Behaviour Interactive,11 de novembro de 2020,12 de novembro de 2020,12 de novembro de 2020
Deathloop,Aventura,Arkane Studios,Bethesda Softworks,14 de setembro de 2021,14 de setembro de 2021,14 de setembro de 2021
Deliver Us The Moon,Aventura,KeokeN Interactive,Wired Productions,TBA,TBA,TBA
Demon's Souls,Ação role-playing,Bluepoint GamesJapan Studio,Sony Interactive Entertainment,12 de novembro de 2020,12 de novembro de 2020,19 de novembro de 2020
Demon Slayer: Kimetsu no Yaiba – Hinokami Keppuutan,Fighting,CyberConnect2,Aniplex,2021,TBA,TBA
Destiny 2,Tiro na 1ª pessoa,Bungie,Bungie,8 de dezembro de 2021,8 de dezembro de 2021,8 de dezembro de 2021
Destruction AllStars,Combate de Veículos,Lucid GamesWushu Studios,Sony Interactive Entertainment,02 de fevereiro de 2021,02 de fevereiro de 2021,02 de fevereiro de 2021
Devil May Cry 5: Special Edition,Action-adventurehack and slash,Capcom,Capcom,12 de novembro de 2020,12 de novembro de 2020,19 de novembro de 2020
Diablo II: Resurrected,Action role-playinghack and slash,Vicarious Visions,Blizzard Entertainment,2021,2021,2021
Dinos Reborn,Survivalaction,HardCodeWay,Vision Edge Entertainment,2022,2022,2022
Dirt 5,Corridas,Codemasters,Codemasters,12 de novembro de 2020,12 de novembro de 2020,19 de novembro de 2020
Disco Elysium: The Final Cut,Role-playing,ZA/UM,ZA/UM,30 de março de 2021,30 de março de 2021,30 de março de 2021
Doom Eternal,Tiro na 1ª pessoa,id Software,Bethesda Softworks,TBA,TBA,TBA
Dreaming Sarah,Adventureplatformer,Asteristic Game Studio,Ratalaika Games,Não lançado,05 de março de 2021,05 de março de 2021
Dungeons & Bombs,Puzzle,PigeonDev,Sometimes You,Não lançado,26 de fevereiro de 2021,26 de fevereiro de 2021
Dungeons & Dragons: Dark Alliance,Role-playing,Tuque Games,Wizards of the Coast,22 de junho de 2021,22 de junho de 2021,22 de junho de 2021
Dustborn,Aventura,Red Thread Games,Red Thread Games,2021,2021,2021
Dying Light 2,Horror de sobrevivência,Techland,Techland Publishing,TBA,TBA,TBA
Dynasty Warriors 9: Empires,Hack and slash,Omega Force,Koei Tecmo,TBA,TBA,TBA
Edge of Eternity,Role-playing,Midgard Studio,Dear Villagers,2021,2021,2021
Eiyuden Chronicle: Hundred Heroes,Japanese role-playing,Rabbit & Bear Studios,505 Games,2022,2022,2022
The Elder Scrolls Online,MMORPG,ZeniMax Online Studios,Bethesda Softworks,08 de junho de 2021,08 de junho de 2021,08 de junho de 2021
