Subnautica: Below Zero,Aventura,Unknown Worlds Entertainment,Bandai Namco Entertainment,14 de maio de 2021,14 de maio de 2021,14 de maio de 2021
Suicide Squad: Kill the Justice League,Aventura,Rocksteady Studios,WB Games,2022,2022,2022
Sumatra: Fate of Yandi,Aventura,Ratalaika Games,Ratalaika Games,Não lançado,18 de março de 2021,18 de março de 2021
Super Animal Royale,Battle royale,Pixile,Modus Games,2021,2021,2021
Sword of the Necromancer,Roguelikerole-playing,Grimorio of Games,JanduSoft,TBA,TBA,TBA
Tales of Arise,Ação role-playing,Bandai Namco Studios,Bandai Namco Entertainment,9 de setembro de 2021,10 de setembro de 2021,10 de setembro de 2021
Temtem,Adventurecreature collection,Crema,Humble Games,8 de dezembro de 2021,8 de dezembro de 2021,8 de dezembro de 2021
Terminator: Resistance Enhanced,Tiro na 1ª pessoa,Teyon,Reef Entertainment,30 de abril de 2021,30 de abril de 2021,30 de abril de 2021
Tesla Force,Tiro,10tons,10tons,Não lançado,24 de novembro de 2020,24 de novembro de 2020
Tesla vs Lovecraft,ActionarcadeTiro,10tons,10tons,Não lançado,4 de dezembro de 2021,4 de dezembro de 2021
Test Drive Unlimited Solar Crown,Corridas,Kylotonn,Nacon,TBA,TBA,TBA
Tin Hearts,Puzzle,Rogue Sun,Wired Productions,TBA,TBA,TBA
Tom Clancy's Rainbow Six Quarantine,Tactical Tiro,Ubisoft Montreal,Ubisoft,2021,2021,2021
Tom Clancy's Rainbow Six Siege,Tactical Tiro,Ubisoft Montreal,Ubisoft,1 de dezembro de 2021,1 de dezembro de 2021,1 de dezembro de 2021
Tony Hawk's Pro Skater 1 + 2,Desporto,Vicarious Visions,Activision,26 de março de 2021,26 de março de 2021,26 de março de 2021
Tormented Souls,Horror de sobrevivência,Dual EffectAbstract Digital,PQube,2021,2021,2021
Tribes of Midgard,Sobrevivência,Norsfell,Gearbox Publishing,TBA,2021,2021
Twin Robots: Ultimate Edition,Action-adventurepuzzle,Thinice Games,Ratalaika Games,Não lançado,07 de dezembro de 2021,07 de dezembro de 2021
Ultimate Fishing Simulator 2,FishingSimulação,MasterCode,Ultimate Games,TBA,2021,2021
Utawarerumono: Zan 2,Action role-playinghack and slash,Tamsoft,Aquaplus,22 de julho de 2021,TBA,TBA
Undead Horde,Role-playingreal-time strategy,10tons,10tons,Não lançado,12 de novembro de 2020,12 de novembro de 2020
Unknown 9: Awakening,Aventura,Reflector Entertainment,TBA,TBA,2021,2021
Vampire: The Masquerade – Bloodlines 2,Ação role-playing,Hardsuit Labs,Paradox Interactive,2021,2021,2021
Vampire: The Masquerade – Swansong,Ação role-playing,Big Bad Wolf,Nacon,TBA,2021,2021
Vigor,Loot Tiro,Bohemia Interactive,Bohemia Interactive,2021,2021,2021
Void Terrarium Plus,Role-playingroguelike,Nippon Ichi Software,Nippon Ichi Software,18 de fevereiro de 2021,18 de maio de 2021,21 de maio de 2021
Watch Dogs: Legion,Aventura,Ubisoft Toronto,Ubisoft,12 de novembro de 2020,12 de novembro de 2020,19 de novembro de 2020
Warframe,Action role-playingTiro na 3ª pessoa,Digital Extremes,Digital Extremes,26 de novembro de 2020,26 de novembro de 2020,26 de novembro de 2020
Warhammer: Chaosbane,Action role-playinghack and slash,Eko Software,Bigben Interactive,12 de novembro de 2020,12 de novembro de 2020,19 de novembro de 2020
War Hospital,Estratégia,Brave Lamb Studio,Movie Games,2022,2022,2022
War Mongrels,Estratégia em tempo real,Destructive Creations,All in! Games,2021,2021,2021
War Thunder,ActionCombate de Veículos,Gaijin Entertainment,Gaijin Entertainment,16 de novembro de 2020,17 de novembro de 2020,17 de novembro de 2020
Werewolf: The Apocalypse – Earthblood,Ação role-playing,Cyanide,Nacon,TBA,04 de fevereiro de 2021,04 de fevereiro de 2021
The Witcher 3: Wild Hunt,Ação role-playing,CD Projekt RedSaber Interactive,CD Projekt,2021 Q3/Q4,2021 Q3/Q4,2021 Q3/Q4
World of Warships: Legends,Combate de Veículos,Lesta Studio,Wargaming,26 de abril de 2021,26 de abril de 2021,26 de abril de 2021
Worms Rumble,Artillerybattle royalestrategy,Team17,Team17,01 de dezembro de 2021,01 de dezembro de 2021,01 de dezembro de 2021
WRC 9,CorridasSimulação,Kylotonn,Nacon,12 de novembro de 2020,12 de novembro de 2020,19 de novembro de 2020
WRC 10,CorridasSimulação,Kylotonn,Nacon,02 de setembro de 2021,02 de setembro de 2021,02 de setembro de 2021
Wreckfest,Combate de VeículosCorridas,Bugbear Entertainment,THQ Nordic,04 de maio de 2021,04 de maio de 2021,04 de maio de 2021
WWE 2K22,Desporto,Visual Concepts,2K,TBA,TBA,TBA
Yakuza: Like a Dragon,Role-playing,Ryu Ga Gotoku Studio,Sega,02 de março de 2021,02 de março de 2021,02 de março de 2021
Yuoni,Horror de sobrevivência,Tricore,Chorus Worldwide,agosto de 2021,2021,2021
Yurukill: The Calumniation Game,Shoot 'em up,G.Rev,Izanagi Games,2021,2021,2021
